G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
4164,영웅서기온라인,Heroes Lore Online, RPG, 케이넷피, 케이넷피," 모바일, 안드로이드",2014-05-28,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0611_6144.jpg
4165,스타 시티즌,-, RPG, 클라우드 임페리움 게임스, 클라우드 임페리움 게임스, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0502_8071.gif
4166,사육신 : 투신의 시대,-, RPG, 깜놀닷컴, 깜놀닷컴, PC온라인,2014-01-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1226_2504.gif
4167,미스틱 파이터,-, RPG, 다담게임, 넷마블게임즈, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/0130_6928.jpg
4168,카드헌터,Card Hunter, TCG, Blue Manchu, Blue Manchu, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/0721_6870.jpg
4169,레전드 오브 파이터,Legend of Fighter, RPG, 갤럭시게이트, 엠플래닛, PC온라인,2013-12-06,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1209_9687.GIF
4170,다크폴: 잔혹한 전쟁,Darkfall: Unholy Wars, RPG, 어벤추린, 엠게임, PC온라인,2013-10-30,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/0812_3970.jpg
4171,클럽 오디션: 월드 인 오디션,Club Audition: Wolrd In Audition, 리듬액션, T3 엔터테인먼트, 한빛소프트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1226_4469.jpg
4172,워해머 40k : 스페이스 울프,Warhammer 40k Space Wolf, TCG, 히어로크래프트, -," PC온라인, iOS, 안드로이드", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1209_7688.GIF
4173,모나크,Monarch, RPG, 마이어스 게임즈, 넷마블게임즈, PC온라인,2013-05-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/0409_6818.jpg
4174,던전스트라이커,-, RPG, 아이덴티티게임즈, NHN 엔터테인먼트, PC온라인,2013-05-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0405_7385.JPG
4175,워렌전기,Warenstory, RPG, 알트원, SG데이타, PC온라인,2011-09-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/0517_1124.jpg
4176,MVP베이스볼 온라인,-, 스포츠, 일렉트로닉아츠, 엔트리브소프트, PC온라인,2012-10-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0831_2749.jpg
4177,FC매니저,-, 스포츠, 한빛소프트, 한빛소프트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2010/0827_2443.jpg
4178,아라 온라인,ARA ONLINE, RPG, 아쿠아리우스 엔터테인먼트, 아쿠아리우스 엔터테인먼트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/0621_4017.jpg
4179,삼국지를 품다,-, RPG, 엔도어즈, -, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0222_8144.jpg
4180,마계촌온라인,-, 액션, 씨드나인 게임즈, 넷마블게임즈, PC온라인, 2013. 02. 14. OBT,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/0405_1768.jpg
4181,헉슬리,Huxley, FPS, 웹젠, 웹젠, PC온라인, 2008. 06. 27 오픈베타,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0801_2948.jpg
4182,코어 온라인,Core Online, RPG, 엔트웰, 엔트웰, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4183,한글 탐정: 하나와 두리,-, 어드벤쳐, T3 엔터테인먼트, 한빛소프트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/0307_4837.jpg
4184,타이젬 바둑,-, 보드, 동양온라인, 동양온라인, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4185,스톰 블리츠,-, 기타, YNK코리아, -, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4186,로한2,-, RPG, YNK Games, YNK코리아, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4187,고스트리콘 온라인,ghost recon online, RPG, 유비소프트, 유비소프트, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4188,진삼국무쌍 온라인,-, 액션, 코에이테크모, 넷마블게임즈, PC온라인, 2010. 8. 16 종료,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1116_6288.jpg
4189,The Agency,The Agency, 기타, 소니 온라인 엔터테인먼트, 소니 온라인 엔터테인먼트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0612_9855.jpg
4190,스쿼드플로우,Squadflow, FPS, 한빛소프트, 한빛소프트, 모바일, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4191,맥워리어 온라인,MechWarrior online, FPS, 피라냐 게임즈, -, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0720_6460.jpg
4192,테트리스 온라인,Tetris Online, 퍼즐, 테트리스 온라인 주식회사, 테트리스 온라인 주식회사, 웹브라우저, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4193,HIS 온라인,-, 시뮬레이션, 게임어스, -, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4194,와일드 버스터,-, RPG, 누리비스타, -, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2012/0320_3239.jpg
4195,실크로드-R,Silkroad-R, RPG, 위메이드맥스, 위메이드맥스, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4196,수라 온라인,SURA online, RPG, NSE엔터테인먼트, -, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/1209_5713.jpg
4197,스키드러쉬,-, 레이싱, 엔플루토, NHN 엔터테인먼트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_6232.jpg
4198,삼국지천,-, RPG, T3 엔터테인먼트, T3 엔터테인먼트, PC온라인,2011-02-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2009/0527_6878.jpg
