G_IDX,G_NAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM
9180,소닉&세가 올스타 레이싱,레이싱,세가,세가,PS3/ XBOX/ NDS/ Wii
9181,레드시드 프로파일,RPG,마벨러스 엔터테인먼트,SONY,PS3
9182,뚱뚱보 공주와 한 주먹의 케이크,RPG,소니 인터랙티브 엔터테인먼트 코리아,소니 인터랙티브 엔터테인먼트 코리아,PSP
9183,하이브리드2,액션,컴투스홀딩스,컴투스홀딩스,모바일
9184,록맨10,RPG,캡콤,캡콤,XBOX
9185,와일드 플래닛,RPG,아이덴티티 엔터테인먼트,아이덴티티 엔터테인먼트,PC온라인
9186,절대 히어로 개조계획,RPG,소니 인터랙티브 엔터테인먼트 코리아,소니 인터랙티브 엔터테인먼트 코리아,PSP
9187,MLB 10 The Show,RPG,소니 인터랙티브 엔터테인먼트 코리아,SCEK,PS3/ PSP
9188,메트로 컨플릭트: 프레스토,FPS,레드덕,NHN 엔터테인먼트,PC온라인
9189,로스트,시뮬레이션,조이포트,NHN 엔터테인먼트,웹브라우저
9190,프로젝트E:st,RPG,폴리곤게임즈,NHN 엔터테인먼트,PC온라인
